"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
001	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC	28.0239	28.0239	25.8	36.2
002	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC	11.3318	11.3318	8.5	14.0
003	Yes	No	PRE	SURG	"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES"	21.2252	21.2252	22.9	33.0
004	Yes	No	PRE	SURG	"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES"	13.8514	13.8514	22.4	28.0
005	No	No	PRE	SURG	LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT	10.3105	10.3105	14.0	19.1
006	No	No	PRE	SURG	LIVER TRANSPLANT WITHOUT MCC	4.6370	4.6370	7.1	7.8
007	No	No	PRE	SURG	LUNG TRANSPLANT	12.9502	12.9502	19.7	23.5
008	No	No	PRE	SURG	SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT	5.6046	5.6046	8.5	10.0
010	No	No	PRE	SURG	PANCREAS TRANSPLANT	3.0699	7.1757	5.9	6.0
011	No	No	PRE	SURG	"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC"	5.4541	5.4541	11.4	13.9
