TABLE 6I - COMPLETE MCC LIST
Diagnosis Code	Description
A02.1	Salmonella sepsis
A02.21	Salmonella meningitis
A02.22	Salmonella pneumonia
A06.4	Amebic liver abscess
A06.5	Amebic lung abscess
A06.6	Amebic brain abscess
A17.0	Tuberculous meningitis
A17.1	Meningeal tuberculoma
A17.81	Tuberculoma of brain and spinal cord
A17.82	Tuberculous meningoencephalitis
A17.83	Tuberculous neuritis
A17.89	Other tuberculosis of nervous system
A18.31	Tuberculous peritonitis
A19.0	Acute miliary tuberculosis of a single specified site
A19.1	Acute miliary tuberculosis of multiple sites
A19.2	Acute miliary tuberculosis, unspecified
A19.8	Other miliary tuberculosis
A19.9	Miliary tuberculosis, unspecified
A20.0	Bubonic plague
A20.1	Cellulocutaneous plague
A20.2	Pneumonic plague
A20.3	Plague meningitis
A20.7	Septicemic plague
A20.8	Other forms of plague
A20.9	Plague, unspecified
A22.1	Pulmonary anthrax
A22.7	Anthrax sepsis
A26.7	Erysipelothrix sepsis
A27.81	Aseptic meningitis in leptospirosis
A32.7	Listerial sepsis
A33	Tetanus neonatorum
A35	Other tetanus
A37.01	Whooping cough due to Bordetella pertussis with pneumonia
A37.11	Whooping cough due to Bordetella parapertussis with pneumonia
A37.81	Whooping cough due to other Bordetella species with pneumonia
A37.91	Whooping cough, unspecified species with pneumonia
A39.0	Meningococcal meningitis
A39.1	Waterhouse-Friderichsen syndrome
A39.2	Acute meningococcemia
A39.3	Chronic meningococcemia
A39.4	Meningococcemia, unspecified
A39.50	Meningococcal carditis, unspecified
A39.51	Meningococcal endocarditis
A39.52	Meningococcal myocarditis
A39.53	Meningococcal pericarditis
A39.81	Meningococcal encephalitis
A40.0	Sepsis due to streptococcus, group A
A40.1	Sepsis due to streptococcus, group B
A40.3	Sepsis due to Streptococcus pneumoniae
A40.8	Other streptococcal sepsis
A40.9	Streptococcal sepsis, unspecified
A41.01	Sepsis due to Methicillin susceptible Staphylococcus aureus
A41.02	Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1	Sepsis due to other specified staphylococcus
A41.2	Sepsis due to unspecified staphylococcus
A41.3	Sepsis due to Hemophilus influenzae
A41.4	Sepsis due to anaerobes
A41.50	Gram-negative sepsis, unspecified
A41.51	Sepsis due to Escherichia coli [E. coli]
A41.52	Sepsis due to Pseudomonas
A41.53	Sepsis due to Serratia
A41.54	Sepsis due to Acinetobacter baumannii
A41.59	Other Gram-negative sepsis
A41.81	Sepsis due to Enterococcus
A41.89	Other specified sepsis
A41.9	Sepsis, unspecified organism
A42.7	Actinomycotic sepsis
A48.0	Gas gangrene
A48.1	Legionnaires' disease
A48.3	Toxic shock syndrome
A50.41	Late congenital syphilitic meningitis
A50.42	Late congenital syphilitic encephalitis
A51.41	Secondary syphilitic meningitis
