"001","\N","P","HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC","0","\N"
"002","\N","P","HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC","0","\N"
"003","\N","P","ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES","0","\N"
"004","\N","P","TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES","0","\N"
"005","\N","P","LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT","0","\N"
"006","\N","P","LIVER TRANSPLANT WITHOUT MCC","0","\N"
"007","\N","P","LUNG TRANSPLANT","0","\N"
"008","\N","P","SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT","0","\N"
"010","\N","P","PANCREAS TRANSPLANT","0","\N"
"011","\N","P","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC","0","\N"
"012","\N","P","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC","0","\N"
"013","\N","P","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC","0","\N"
"014","\N","M","ALLOGENEIC BONE MARROW TRANSPLANT","0","\N"
"016","\N","M","AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC","0","\N"
"017","\N","M","AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC","0","\N"
"018","\N","M","CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES","0","\N"
"019","\N","P","SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS","0","\N"
"020","MDC 01","P","INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC","0","\N"
